"","DA_aux_pp","DA_QUANDO_v","DOPO_aux_pp","FINCHE_v","FINO_A_aux_pp","INVECE_DI_v","ONDE_v","PER_aux_pp","PER_v","PERCHE_v","POICHE_v","PRIMA_CHE_v","PRIMA_DI_aux_pp","PRIMA_DI_v"
"vire",0,3,0,7,0,0,0,0,0,1,0,0,0,0
"affrontare",1,0,0,0,0,1,2,0,2,1,0,0,0,3
"analizzare",1,0,2,0,0,4,0,1,1,0,0,0,0,1
"applicare",0,0,1,0,1,0,0,3,1,0,1,0,1,2
"ascoltare",1,0,4,1,0,0,0,1,1,2,0,0,0,0
"avere",2,0,0,0,0,0,0,0,3,0,0,0,0,5
"bere",1,0,7,0,0,0,0,0,0,1,0,0,0,1
"coinvolgere",2,0,0,0,0,0,1,0,1,3,2,0,1,0
"condurre",0,0,0,0,0,1,2,0,2,1,4,0,0,0
"determinare",3,0,0,0,0,0,1,1,0,0,5,0,0,0
"fermare",0,0,0,0,0,1,0,0,2,2,1,0,1,3
"identificare",2,0,3,0,0,1,1,0,1,0,2,0,0,0
"imparare",1,0,0,2,0,0,0,1,2,2,1,0,0,1
"indurre",7,0,0,0,0,0,2,0,0,0,1,0,0,0
"inserire",3,0,1,0,0,1,0,4,0,0,1,0,0,0
"lanciare",0,0,4,0,0,1,0,2,0,0,0,0,1,2
"nominare",3,0,2,0,0,0,0,0,0,1,0,0,4,0
"notare",2,0,1,3,0,0,0,1,0,1,0,0,0,2
"raccontare",0,0,3,0,0,2,0,0,0,3,2,0,0,0
"ridurre",0,0,0,0,0,2,2,0,4,0,1,0,0,1
"rientrare",0,0,0,0,0,0,1,0,0,1,2,1,0,5
"riguardare",0,0,0,0,0,0,0,0,0,4,6,0,0,0
"rischiare",0,1,2,0,0,1,0,0,0,3,2,1,0,0
"salutare",0,1,4,0,0,1,0,0,1,0,0,0,0,3
"scritto",0,0,3,0,0,0,0,5,0,0,0,0,2,0
"sta",0,4,0,6,0,0,0,0,0,0,0,0,0,0
"tagliare",0,0,3,1,0,2,0,1,1,0,1,0,0,1
"togliere",0,0,1,0,0,1,0,2,1,1,1,0,1,2
"trasferire",0,0,0,0,0,0,0,1,0,0,0,0,3,6
"alzare",0,0,0,1,0,3,1,0,0,0,0,1,0,3
"ammazzare",0,0,1,1,0,3,0,2,0,1,0,0,1,0
"attaccare",0,0,2,0,0,1,0,0,2,0,0,3,0,1
"aumentare",0,0,0,0,0,3,1,0,2,1,2,0,0,0
"avviare",1,0,0,0,0,1,1,0,3,0,0,0,1,2
"battere",0,0,2,2,0,4,0,0,1,0,0,0,0,0
"buttare",1,0,3,0,0,1,0,0,0,1,0,0,0,3
"denunciare",1,0,0,0,0,1,0,4,1,1,0,0,0,1
"dettare",0,0,4,0,0,0,0,4,0,0,0,0,1,0
"dimostrare",0,0,0,0,0,1,1,0,2,3,2,0,0,0
"effettuare",0,0,5,0,0,0,0,0,3,0,0,0,0,1
"esplodere",0,2,0,0,0,0,0,0,1,0,0,6,0,0
"essere",0,0,0,0,0,2,0,0,1,1,0,0,0,5
"generare",5,0,0,0,0,0,1,0,0,1,2,0,0,0
"insegnare",0,1,0,0,0,0,2,1,2,3,0,0,0,0
"migliorare",0,0,0,0,0,3,4,0,1,1,0,0,0,0
"nascondere",1,0,2,0,0,3,0,1,2,0,0,0,0,0
"osservare",1,0,2,0,0,1,0,0,3,0,2,0,0,0
"prevedere",1,0,0,0,0,0,1,0,0,3,4,0,0,0
"proteggere",1,0,0,0,0,1,1,3,3,0,0,0,0,0
"recare",0,0,0,0,0,3,1,0,0,1,1,0,0,3
"recuperare",0,0,2,1,0,1,2,0,2,0,0,0,0,1
"riconoscere",2,0,1,0,0,1,0,2,0,0,3,0,0,0
"riflettere",0,0,1,0,1,1,0,0,1,2,3,0,0,0
